Order_ID,Warehouse_ID,Ship_Date,Delivery_Date,Delivery_Status,Return_Status,Return_Reason
78,7,22-01-2023,26-01-2023,On-time,No,None
79,10,28-01-2023,30-01-2023,On-time,No,None
80,3,10-02-2023,14-02-2023,On-time,No,None
81,10,25-06-2023,30-06-2023,Late,Yes,Wrong Item
82,3,22-04-2023,27-04-2023,Late,Yes,Damaged
83,2,26-07-2023,31-07-2023,Late,No,None
84,1,28-10-2023,03-11-2023,Late,Yes,Damaged
85,2,31-10-2023,04-11-2023,On-time,No,None
86,4,03-12-2023,06-12-2023,On-time,No,None
87,7,03-12-2023,06-12-2023,On-time,No,None
88,6,16-11-2023,18-11-2023,On-time,No,None
89,9,12-09-2023,17-09-2023,Late,No,None
90,3,21-06-2023,27-06-2023,Late,No,None
91,1,02-11-2023,05-11-2023,On-time,No,None
92,8,20-04-2023,24-04-2023,On-time,No,None
93,8,01-04-2023,06-04-2023,Late,No,None
94,2,07-07-2023,10-07-2023,On-time,No,None
95,6,31-12-2023,06-01-2024,Late,No,None
96,5,30-04-2023,04-05-2023,On-time,No,None
97,9,27-01-2023,02-02-2023,Late,No,None
98,8,17-05-2023,20-05-2023,On-time,No,None
99,6,13-07-2023,18-07-2023,Late,No,None
100,10,26-11-2023,01-12-2023,Late,No,None
101,6,20-07-2023,25-07-2023,Late,Yes,Wrong Item
102,5,04-08-2023,10-08-2023,Late,No,None
103,2,08-11-2023,14-11-2023,Late,No,None
104,8,25-04-2023,01-05-2023,Late,Yes,Damaged
105,4,17-11-2023,20-11-2023,On-time,No,None
106,9,02-12-2023,08-12-2023,Late,No,None
107,7,20-01-2023,22-01-2023,On-time,No,None
108,3,05-09-2023,10-09-2023,Late,Yes,Damaged
109,2,10-07-2023,16-07-2023,Late,No,None
110,10,27-02-2023,03-03-2023,On-time,No,None
111,4,31-12-2023,06-01-2024,Late,Yes,Damaged
112,9,26-03-2023,29-03-2023,On-time,No,None
113,10,30-08-2023,01-09-2023,On-time,No,None
114,7,15-04-2023,18-04-2023,On-time,No,None
115,7,10-10-2023,16-10-2023,Late,No,None
116,7,07-09-2023,13-09-2023,Late,No,None
117,6,25-12-2023,29-12-2023,On-time,No,None
118,10,15-10-2023,18-10-2023,On-time,No,None
119,3,01-06-2023,04-06-2023,On-time,No,None
120,9,06-03-2023,08-03-2023,On-time,No,None
121,10,13-02-2023,19-02-2023,Late,No,None
122,5,18-03-2023,23-03-2023,Late,Yes,Late
123,9,24-10-2023,30-10-2023,Late,No,None
124,1,23-02-2023,28-02-2023,Late,No,None
125,10,19-04-2023,21-04-2023,On-time,No,None
126,10,02-02-2023,04-02-2023,On-time,No,None
127,10,04-09-2023,06-09-2023,On-time,No,None
128,6,06-08-2023,08-08-2023,On-time,No,None
129,9,14-09-2023,18-09-2023,On-time,No,None
130,10,22-10-2023,25-10-2023,On-time,No,None
131,4,29-10-2023,01-11-2023,On-time,No,None
132,10,13-05-2023,15-05-2023,On-time,No,None
133,9,26-11-2023,30-11-2023,On-time,No,None
134,7,25-03-2023,29-03-2023,On-time,No,None
135,6,11-02-2023,14-02-2023,On-time,No,None
136,5,19-02-2023,23-02-2023,On-time,No,None
137,2,12-03-2023,15-03-2023,On-time,No,None
138,2,11-09-2023,16-09-2023,Late,No,None
139,8,28-07-2023,03-08-2023,Late,No,None
140,8,18-05-2023,21-05-2023,On-time,No,None
141,8,28-05-2023,31-05-2023,On-time,No,None
142,6,14-05-2023,20-05-2023,Late,No,None
143,7,22-08-2023,28-08-2023,Late,Yes,Damaged
144,2,08-08-2023,10-08-2023,On-time,No,None
145,6,07-08-2023,10-08-2023,On-time,No,None
146,6,09-10-2023,14-10-2023,Late,No,None
147,6,19-05-2023,21-05-2023,On-time,No,None
148,9,10-04-2023,14-04-2023,On-time,No,None
149,1,14-07-2023,20-07-2023,Late,Yes,Late
150,5,08-03-2023,14-03-2023,Late,Yes,Damaged
151,4,14-02-2023,18-02-2023,On-time,No,None
152,8,10-10-2023,14-10-2023,On-time,No,None
153,5,12-09-2023,16-09-2023,On-time,No,None
154,7,11-04-2023,17-04-2023,Late,Yes,Damaged
155,4,17-08-2023,23-08-2023,Late,Yes,Damaged
156,1,21-05-2023,27-05-2023,Late,No,None
157,6,13-10-2023,19-10-2023,Late,No,None
158,9,10-05-2023,15-05-2023,Late,No,None
159,1,04-09-2023,10-09-2023,Late,No,None
160,4,20-07-2023,23-07-2023,On-time,No,None
161,2,17-06-2023,20-06-2023,On-time,No,None
162,9,04-08-2023,07-08-2023,On-time,No,None
163,4,25-02-2023,03-03-2023,Late,No,None
164,4,21-07-2023,27-07-2023,Late,No,None
165,10,23-10-2023,26-10-2023,On-time,No,None
166,3,27-07-2023,30-07-2023,On-time,No,None
167,10,01-07-2023,04-07-2023,On-time,No,None
168,8,08-06-2023,14-06-2023,Late,No,None
169,4,20-06-2023,24-06-2023,On-time,No,None
170,3,22-05-2023,26-05-2023,On-time,No,None
171,9,02-02-2023,05-02-2023,On-time,No,None
172,3,01-09-2023,07-09-2023,Late,No,None
173,2,29-04-2023,03-05-2023,On-time,No,None
174,8,28-04-2023,02-05-2023,On-time,No,None
175,8,04-07-2023,09-07-2023,Late,Yes,Late
176,2,29-09-2023,01-10-2023,On-time,No,None
177,6,26-05-2023,31-05-2023,Late,No,None
178,5,06-07-2023,09-07-2023,On-time,No,None
179,5,22-03-2023,24-03-2023,On-time,No,None
180,4,11-08-2023,15-08-2023,On-time,No,None
181,9,07-06-2023,10-06-2023,On-time,No,None
182,2,10-08-2023,12-08-2023,On-time,No,None
183,3,10-11-2023,12-11-2023,On-time,No,None
184,8,01-07-2023,06-07-2023,Late,No,None
185,10,25-11-2023,28-11-2023,On-time,No,None
186,1,19-01-2023,21-01-2023,On-time,No,None
187,6,23-09-2023,25-09-2023,On-time,No,None
188,9,09-11-2023,12-11-2023,On-time,No,None
189,5,27-12-2023,02-01-2024,Late,No,None
190,4,16-08-2023,19-08-2023,On-time,No,None
191,5,24-05-2023,26-05-2023,On-time,No,None
192,4,02-10-2023,06-10-2023,On-time,No,None
193,3,15-01-2023,21-01-2023,Late,Yes,Wrong Item
194,3,11-11-2023,14-11-2023,On-time,No,None
195,2,15-04-2023,19-04-2023,On-time,No,None
196,10,26-03-2023,31-03-2023,Late,Yes,Damaged
197,8,08-02-2023,14-02-2023,Late,Yes,Wrong Item
198,1,07-03-2023,10-03-2023,On-time,No,None
199,10,18-02-2023,23-02-2023,Late,No,None
200,3,11-03-2023,13-03-2023,On-time,No,None
201,6,31-05-2023,04-06-2023,On-time,No,None
202,3,20-10-2023,26-10-2023,Late,Yes,Wrong Item
203,5,28-07-2023,03-08-2023,Late,No,None
204,1,17-09-2023,23-09-2023,Late,No,None
205,8,19-01-2023,22-01-2023,On-time,No,None
206,10,08-01-2023,12-01-2023,On-time,No,None
207,3,08-03-2023,12-03-2023,On-time,No,None
208,4,26-12-2023,31-12-2023,Late,Yes,Damaged
209,3,14-02-2023,17-02-2023,On-time,No,None
210,1,28-05-2023,03-06-2023,Late,No,None
211,5,10-06-2023,13-06-2023,On-time,No,None
212,7,27-07-2023,01-08-2023,Late,Yes,Damaged
213,1,09-05-2023,11-05-2023,On-time,No,None
214,4,22-03-2023,26-03-2023,On-time,No,None
215,3,08-11-2023,14-11-2023,Late,Yes,Wrong Item
216,10,20-06-2023,23-06-2023,On-time,No,None
217,9,23-07-2023,28-07-2023,Late,No,None
218,5,30-07-2023,02-08-2023,On-time,No,None
219,4,20-11-2023,26-11-2023,Late,No,None
220,3,14-12-2023,19-12-2023,Late,Yes,Damaged
221,4,20-05-2023,22-05-2023,On-time,No,None
222,2,17-05-2023,23-05-2023,Late,No,None
223,3,24-11-2023,29-11-2023,Late,Yes,Damaged
224,3,07-01-2023,13-01-2023,Late,Yes,Damaged
225,1,12-01-2023,15-01-2023,On-time,No,None
226,6,01-04-2023,03-04-2023,On-time,No,None
227,4,10-10-2023,16-10-2023,Late,Yes,Late
228,8,17-05-2023,21-05-2023,On-time,No,None
229,1,28-08-2023,30-08-2023,On-time,No,None
230,6,26-02-2023,02-03-2023,On-time,No,None
231,3,01-05-2023,06-05-2023,Late,No,None
232,2,30-06-2023,04-07-2023,On-time,No,None
233,6,03-05-2023,09-05-2023,Late,Yes,Wrong Item
234,1,01-02-2023,05-02-2023,On-time,No,None
235,1,12-01-2023,16-01-2023,On-time,No,None
236,5,02-01-2024,06-01-2024,On-time,No,None
237,4,26-04-2023,29-04-2023,On-time,No,None
238,7,14-02-2023,17-02-2023,On-time,No,None
239,2,20-05-2023,25-05-2023,Late,No,None
240,1,16-02-2023,20-02-2023,On-time,No,None
241,9,15-02-2023,19-02-2023,On-time,No,None
242,10,23-10-2023,29-10-2023,Late,No,None
243,3,30-06-2023,05-07-2023,Late,Yes,Damaged
244,5,11-07-2023,16-07-2023,Late,No,None
245,9,01-06-2023,06-06-2023,Late,No,None
246,2,06-01-2023,09-01-2023,On-time,No,None
247,10,10-06-2023,16-06-2023,Late,No,None
248,5,28-06-2023,02-07-2023,On-time,No,None
249,2,11-08-2023,17-08-2023,Late,Yes,Late
250,9,02-04-2023,08-04-2023,Late,Yes,Damaged
251,6,24-09-2023,30-09-2023,Late,No,None
252,2,26-02-2023,04-03-2023,Late,No,None
253,7,16-11-2023,22-11-2023,Late,Yes,Damaged
254,2,17-05-2023,20-05-2023,On-time,No,None
255,3,31-01-2023,05-02-2023,Late,Yes,Damaged
256,5,22-06-2023,27-06-2023,Late,No,None
257,7,11-03-2023,15-03-2023,On-time,No,None
258,6,11-12-2023,16-12-2023,Late,Yes,Damaged
259,4,13-07-2023,17-07-2023,On-time,No,None
260,2,02-09-2023,05-09-2023,On-time,No,None
261,5,31-01-2023,05-02-2023,Late,No,None
262,4,26-06-2023,29-06-2023,On-time,No,None
263,5,18-06-2023,20-06-2023,On-time,No,None
264,9,18-03-2023,20-03-2023,On-time,No,None
265,4,30-07-2023,02-08-2023,On-time,No,None
266,3,02-08-2023,04-08-2023,On-time,No,None
267,9,31-07-2023,05-08-2023,Late,Yes,Late
268,7,11-03-2023,14-03-2023,On-time,No,None
269,7,08-09-2023,13-09-2023,Late,Yes,Damaged
270,9,03-12-2023,06-12-2023,On-time,No,None
271,8,07-01-2023,11-01-2023,On-time,No,None
272,2,29-03-2023,03-04-2023,Late,No,None
273,7,04-11-2023,08-11-2023,On-time,No,None
274,10,08-09-2023,13-09-2023,Late,No,None
275,9,11-12-2023,15-12-2023,On-time,No,None
276,10,26-12-2023,28-12-2023,On-time,No,None
277,3,21-12-2023,25-12-2023,On-time,No,None
278,8,20-07-2023,26-07-2023,Late,No,None
279,1,12-02-2023,17-02-2023,Late,Yes,Wrong Item
280,7,05-04-2023,07-04-2023,On-time,No,None
281,3,21-01-2023,24-01-2023,On-time,No,None
282,8,20-03-2023,25-03-2023,Late,Yes,Damaged
283,9,31-08-2023,04-09-2023,On-time,No,None
284,2,24-01-2023,27-01-2023,On-time,No,None
285,3,02-03-2023,04-03-2023,On-time,No,None
286,6,12-02-2023,16-02-2023,On-time,No,None
287,4,03-07-2023,08-07-2023,Late,No,None
288,6,21-02-2023,26-02-2023,Late,Yes,Damaged
289,4,19-01-2023,24-01-2023,Late,Yes,Damaged
290,6,10-01-2023,13-01-2023,On-time,No,None
291,3,07-05-2023,09-05-2023,On-time,No,None
292,3,22-09-2023,25-09-2023,On-time,No,None
293,9,07-02-2023,11-02-2023,On-time,No,None
294,7,29-12-2023,04-01-2024,Late,Yes,Wrong Item
295,9,11-04-2023,15-04-2023,On-time,No,None
296,4,22-07-2023,24-07-2023,On-time,No,None
297,5,24-10-2023,26-10-2023,On-time,No,None
298,8,05-02-2023,08-02-2023,On-time,No,None
299,10,14-05-2023,18-05-2023,On-time,No,None
300,8,14-12-2023,16-12-2023,On-time,No,None
301,3,25-11-2023,27-11-2023,On-time,No,None
302,2,17-05-2023,23-05-2023,Late,No,None
303,10,21-05-2023,26-05-2023,Late,No,None
304,2,26-12-2023,29-12-2023,On-time,No,None
305,2,01-01-2024,05-01-2024,On-time,No,None
306,1,04-05-2023,06-05-2023,On-time,No,None
307,1,18-06-2023,23-06-2023,Late,No,None
308,1,05-03-2023,11-03-2023,Late,No,None
309,5,01-01-2024,06-01-2024,Late,Yes,Late
310,6,06-08-2023,12-08-2023,Late,No,None
311,2,27-10-2023,02-11-2023,Late,Yes,Wrong Item
312,8,28-08-2023,02-09-2023,Late,No,None
313,9,30-12-2023,05-01-2024,Late,Yes,Damaged
314,7,15-05-2023,18-05-2023,On-time,No,None
315,2,16-09-2023,22-09-2023,Late,No,None
316,8,26-02-2023,02-03-2023,On-time,No,None
317,6,24-10-2023,29-10-2023,Late,Yes,Wrong Item
318,4,12-09-2023,18-09-2023,Late,Yes,Damaged
319,5,19-07-2023,24-07-2023,Late,No,None
320,5,05-03-2023,10-03-2023,Late,No,None
321,9,20-08-2023,26-08-2023,Late,Yes,Wrong Item
322,5,24-05-2023,28-05-2023,On-time,No,None
323,9,01-10-2023,03-10-2023,On-time,No,None
324,1,26-12-2023,28-12-2023,On-time,No,None
325,2,22-02-2023,25-02-2023,On-time,No,None
326,7,16-05-2023,18-05-2023,On-time,No,None
327,6,29-09-2023,01-10-2023,On-time,No,None
328,3,19-04-2023,25-04-2023,Late,Yes,Wrong Item
329,1,24-04-2023,28-04-2023,On-time,No,None
330,7,07-03-2023,09-03-2023,On-time,No,None
331,9,15-10-2023,17-10-2023,On-time,No,None
332,3,24-10-2023,27-10-2023,On-time,No,None
333,7,18-08-2023,24-08-2023,Late,No,None
334,9,20-09-2023,25-09-2023,Late,No,None
335,6,31-01-2023,06-02-2023,Late,Yes,Damaged
336,10,11-02-2023,13-02-2023,On-time,No,None
337,1,10-06-2023,16-06-2023,Late,No,None
338,3,15-08-2023,20-08-2023,Late,Yes,Late
339,1,11-06-2023,17-06-2023,Late,No,None
340,5,17-11-2023,23-11-2023,Late,No,None
341,1,15-08-2023,19-08-2023,On-time,No,None
342,3,24-10-2023,27-10-2023,On-time,No,None
343,1,08-08-2023,11-08-2023,On-time,No,None
344,8,02-01-2023,07-01-2023,Late,Yes,Late
345,7,28-06-2023,02-07-2023,On-time,No,None
346,6,21-01-2023,25-01-2023,On-time,No,None
347,1,27-10-2023,01-11-2023,Late,Yes,Damaged
348,7,25-02-2023,28-02-2023,On-time,No,None
349,1,27-04-2023,03-05-2023,Late,No,None
350,9,30-09-2023,02-10-2023,On-time,No,None
351,3,17-09-2023,20-09-2023,On-time,No,None
352,3,18-09-2023,23-09-2023,Late,No,None
353,6,18-04-2023,23-04-2023,Late,Yes,Late
354,7,01-09-2023,06-09-2023,Late,Yes,Late
355,7,07-09-2023,12-09-2023,Late,No,None
356,5,28-05-2023,31-05-2023,On-time,No,None
357,4,22-05-2023,24-05-2023,On-time,No,None
358,4,04-10-2023,10-10-2023,Late,Yes,Damaged
359,1,30-06-2023,05-07-2023,Late,Yes,Late
360,9,26-03-2023,28-03-2023,On-time,No,None
361,1,26-12-2023,29-12-2023,On-time,No,None
362,8,07-07-2023,10-07-2023,On-time,No,None
363,3,15-03-2023,17-03-2023,On-time,No,None
364,2,25-04-2023,01-05-2023,Late,Yes,Damaged
365,3,20-11-2023,26-11-2023,Late,Yes,Wrong Item
366,3,13-05-2023,19-05-2023,Late,No,None
367,9,01-09-2023,07-09-2023,Late,Yes,Wrong Item
368,9,01-12-2023,06-12-2023,Late,No,None
369,9,24-09-2023,29-09-2023,Late,No,None
370,6,08-08-2023,12-08-2023,On-time,No,None
371,10,22-07-2023,27-07-2023,Late,Yes,Late
372,9,30-10-2023,04-11-2023,Late,No,None
373,4,20-07-2023,24-07-2023,On-time,No,None
374,1,27-01-2023,30-01-2023,On-time,No,None
375,4,04-08-2023,08-08-2023,On-time,No,None
376,5,12-02-2023,14-02-2023,On-time,No,None
377,2,20-02-2023,25-02-2023,Late,No,None
378,3,09-04-2023,12-04-2023,On-time,No,None
379,8,19-07-2023,23-07-2023,On-time,No,None
380,2,26-09-2023,02-10-2023,Late,Yes,Late
381,5,12-02-2023,16-02-2023,On-time,No,None
382,9,01-06-2023,05-06-2023,On-time,No,None
383,5,11-11-2023,13-11-2023,On-time,No,None
384,2,16-02-2023,22-02-2023,Late,Yes,Late
385,1,03-09-2023,08-09-2023,Late,No,None
386,8,11-11-2023,14-11-2023,On-time,No,None
387,10,26-10-2023,28-10-2023,On-time,No,None
388,5,09-09-2023,11-09-2023,On-time,No,None
389,6,11-10-2023,16-10-2023,Late,No,None
390,1,07-08-2023,11-08-2023,On-time,No,None
391,9,27-12-2023,31-12-2023,On-time,No,None
392,6,28-05-2023,31-05-2023,On-time,No,None
393,7,04-11-2023,08-11-2023,On-time,No,None
394,10,22-11-2023,27-11-2023,Late,No,None
395,7,17-11-2023,22-11-2023,Late,No,None
396,7,04-08-2023,10-08-2023,Late,Yes,Damaged
397,4,28-08-2023,30-08-2023,On-time,No,None
398,5,01-08-2023,04-08-2023,On-time,No,None
399,3,17-11-2023,22-11-2023,Late,Yes,Damaged
400,7,14-07-2023,19-07-2023,Late,No,None
401,5,29-11-2023,02-12-2023,On-time,No,None
402,6,22-09-2023,28-09-2023,Late,No,None
403,10,24-12-2023,29-12-2023,Late,Yes,Wrong Item
404,8,20-02-2023,23-02-2023,On-time,No,None
405,10,06-06-2023,08-06-2023,On-time,No,None
406,9,05-03-2023,09-03-2023,On-time,No,None
407,9,29-10-2023,03-11-2023,Late,Yes,Damaged
408,9,26-07-2023,28-07-2023,On-time,No,None
409,9,22-05-2023,26-05-2023,On-time,No,None
410,1,26-03-2023,29-03-2023,On-time,No,None
411,3,31-08-2023,03-09-2023,On-time,No,None
412,9,25-04-2023,27-04-2023,On-time,No,None
413,2,15-09-2023,17-09-2023,On-time,No,None
414,6,16-06-2023,18-06-2023,On-time,No,None
415,10,05-12-2023,07-12-2023,On-time,No,None
416,6,14-06-2023,18-06-2023,On-time,No,None
417,10,07-09-2023,10-09-2023,On-time,No,None
418,6,07-09-2023,10-09-2023,On-time,No,None
419,8,15-06-2023,20-06-2023,Late,No,None
420,2,17-02-2023,20-02-2023,On-time,No,None
421,1,29-04-2023,03-05-2023,On-time,No,None
422,3,24-03-2023,27-03-2023,On-time,No,None
423,4,12-04-2023,17-04-2023,Late,No,None
424,5,22-09-2023,26-09-2023,On-time,No,None
425,9,06-11-2023,12-11-2023,Late,No,None
426,2,22-03-2023,26-03-2023,On-time,No,None
427,5,04-06-2023,06-06-2023,On-time,No,None
428,2,25-03-2023,29-03-2023,On-time,No,None
429,9,13-04-2023,17-04-2023,On-time,No,None
430,8,13-02-2023,19-02-2023,Late,Yes,Wrong Item
431,3,22-05-2023,24-05-2023,On-time,No,None
432,1,15-02-2023,19-02-2023,On-time,No,None
433,1,02-06-2023,08-06-2023,Late,Yes,Late
434,2,01-10-2023,07-10-2023,Late,No,None
435,2,26-01-2023,30-01-2023,On-time,No,None
436,7,05-07-2023,11-07-2023,Late,No,None
437,8,04-06-2023,06-06-2023,On-time,No,None
438,7,16-12-2023,21-12-2023,Late,Yes,Damaged
439,5,20-01-2023,23-01-2023,On-time,No,None
440,7,09-02-2023,14-02-2023,Late,Yes,Damaged
441,6,16-05-2023,18-05-2023,On-time,No,None
442,8,20-01-2023,25-01-2023,Late,No,None
443,5,19-11-2023,25-11-2023,Late,No,None
444,10,08-07-2023,12-07-2023,On-time,No,None
445,8,23-07-2023,29-07-2023,Late,No,None
446,8,21-07-2023,25-07-2023,On-time,No,None
447,7,15-07-2023,19-07-2023,On-time,No,None
448,2,27-04-2023,03-05-2023,Late,Yes,Late
449,2,12-04-2023,14-04-2023,On-time,No,None
450,8,20-07-2023,23-07-2023,On-time,No,None
451,3,18-07-2023,20-07-2023,On-time,No,None
452,8,13-10-2023,19-10-2023,Late,Yes,Damaged
453,10,09-10-2023,13-10-2023,On-time,No,None
454,4,02-05-2023,04-05-2023,On-time,No,None
455,4,09-12-2023,14-12-2023,Late,No,None
456,6,03-10-2023,08-10-2023,Late,Yes,Late
457,10,17-01-2023,20-01-2023,On-time,No,None
458,6,29-12-2023,03-01-2024,Late,No,None
459,8,27-04-2023,29-04-2023,On-time,No,None
460,8,09-09-2023,15-09-2023,Late,No,None
461,4,08-08-2023,10-08-2023,On-time,No,None
462,9,05-02-2023,10-02-2023,Late,No,None
463,4,14-12-2023,20-12-2023,Late,Yes,Late
464,4,06-08-2023,09-08-2023,On-time,No,None
465,8,22-04-2023,28-04-2023,Late,No,None
466,1,22-10-2023,28-10-2023,Late,Yes,Damaged
467,8,08-10-2023,12-10-2023,On-time,No,None
468,3,07-11-2023,11-11-2023,On-time,No,None
469,6,18-06-2023,22-06-2023,On-time,No,None
470,9,03-05-2023,07-05-2023,On-time,No,None
471,8,29-08-2023,31-08-2023,On-time,No,None
472,6,13-02-2023,15-02-2023,On-time,No,None
473,8,08-09-2023,13-09-2023,Late,No,None
474,6,05-07-2023,08-07-2023,On-time,No,None
475,2,31-08-2023,04-09-2023,On-time,No,None
476,3,21-12-2023,25-12-2023,On-time,No,None
477,9,06-09-2023,11-09-2023,Late,Yes,Wrong Item
478,4,08-06-2023,10-06-2023,On-time,No,None
479,3,28-03-2023,03-04-2023,Late,No,None
480,6,18-02-2023,24-02-2023,Late,No,None
481,8,29-10-2023,01-11-2023,On-time,No,None
482,2,23-03-2023,27-03-2023,On-time,No,None
483,3,26-04-2023,28-04-2023,On-time,No,None
484,7,11-09-2023,14-09-2023,On-time,No,None
485,6,22-06-2023,26-06-2023,On-time,No,None
486,8,11-07-2023,17-07-2023,Late,Yes,Damaged
487,10,27-09-2023,01-10-2023,On-time,No,None
488,2,05-04-2023,11-04-2023,Late,Yes,Wrong Item
489,5,21-09-2023,27-09-2023,Late,No,None
490,6,02-04-2023,04-04-2023,On-time,No,None
491,10,21-06-2023,25-06-2023,On-time,No,None
492,7,19-05-2023,23-05-2023,On-time,No,None
493,1,18-07-2023,21-07-2023,On-time,No,None
494,5,01-08-2023,06-08-2023,Late,No,None
495,9,10-07-2023,15-07-2023,Late,No,None
496,3,30-08-2023,05-09-2023,Late,Yes,Late
497,3,16-07-2023,18-07-2023,On-time,No,None
498,8,20-12-2023,25-12-2023,Late,Yes,Late
499,10,16-01-2023,21-01-2023,Late,No,None
500,9,09-03-2023,14-03-2023,Late,Yes,Damaged
501,4,27-10-2023,31-10-2023,On-time,No,None
502,9,01-12-2023,05-12-2023,On-time,No,None
503,9,03-11-2023,05-11-2023,On-time,No,None
504,7,21-01-2023,23-01-2023,On-time,No,None
505,5,28-11-2023,04-12-2023,Late,No,None
506,10,26-04-2023,01-05-2023,Late,Yes,Wrong Item
507,5,31-05-2023,03-06-2023,On-time,No,None
508,3,10-11-2023,15-11-2023,Late,No,None
509,10,05-07-2023,09-07-2023,On-time,No,None
510,2,01-08-2023,04-08-2023,On-time,No,None
511,8,03-11-2023,07-11-2023,On-time,No,None
512,9,05-04-2023,07-04-2023,On-time,No,None
513,8,23-10-2023,26-10-2023,On-time,No,None
514,1,09-01-2023,15-01-2023,Late,Yes,Late
515,10,24-10-2023,30-10-2023,Late,No,None
516,3,03-02-2023,07-02-2023,On-time,No,None
517,5,30-04-2023,06-05-2023,Late,No,None
518,8,23-04-2023,25-04-2023,On-time,No,None
519,4,26-02-2023,04-03-2023,Late,No,None
520,5,28-10-2023,31-10-2023,On-time,No,None
521,8,04-02-2023,07-02-2023,On-time,No,None
522,8,04-10-2023,10-10-2023,Late,No,None
523,5,21-02-2023,25-02-2023,On-time,No,None
524,5,27-02-2023,01-03-2023,On-time,No,None
