Order_ID,Customer_ID,Product_ID,Campaign_ID,Quantity,Order_Date,Sales,Discount,Profit
55,1548,1533,178,1,2023-08-31,2683.79,21.76%,734.79
56,463,1932,123,3,2023-09-09,2593.72,8.73%,1099.72
57,6708,778,14,3,2023-03-20,2451.93,8.46%,618.93
58,5306,216,156,3,2023-11-06,3113.03,5.82%,1241.03
59,514,1698,58,3,2023-10-15,2045.06,28.21%,1019.06
60,5175,588,33,3,2023-12-05,2754.8,0.72%,837.8
61,3567,538,104,4,2023-07-13,6767.94,17.73%,2695.94
62,3804,547,72,1,2023-03-13,157.71,10.77%,26.71
63,3939,77,51,2,2023-10-19,4865.42,5.64%,2297.42
64,1472,723,129,1,2023-02-27,2502.06,22.84%,1163.06
65,8004,1976,68,1,2023-07-19,1197.7,8.56%,596.7
66,338,1997,29,3,2023-10-07,3348.56,25.57%,1350.56
67,7052,1848,35,4,2023-11-21,9005.65,1.51%,2649.65
68,7445,982,146,1,2023-03-15,2587.94,10.11%,1239.94
69,3413,1072,102,4,2023-05-22,3159.4,28.89%,1451.4
70,2393,1047,127,4,2023-10-24,3599.22,21.40%,771.22
71,977,65,172,3,2023-01-25,3975.25,6.79%,1818.25
72,4979,520,55,3,2023-01-25,673.96,14.18%,139.96
73,4069,493,114,3,2023-06-21,1069.25,5.58%,421.25
74,9896,743,164,2,2023-03-27,3939.8,15.29%,1121.8
75,872,1525,104,4,2023-09-04,13974.36,15.03%,6922.36
76,3410,1397,128,4,2023-03-09,9197.34,7.31%,2869.34
77,2590,1762,147,1,2023-10-02,591.51,12.73%,170.51
78,1550,141,177,4,2023-01-20,10540.63,20.91%,3660.63
79,4462,1772,124,1,2023-01-27,3332.09,23.21%,1618.09
80,2622,1201,21,1,2023-02-08,1983.25,23.91%,725.25
81,2530,1791,181,1,2023-06-24,2396.92,18.44%,721.92
82,7163,1129,123,1,2023-04-20,1966.77,13.16%,944.77
83,8352,1674,80,3,2023-07-24,9410.25,15.81%,4499.25
84,6400,1155,70,3,2023-10-27,3820.9,16.97%,1498.9
85,2582,540,90,2,2023-10-30,772.93,9.27%,134.93
86,6566,1051,1,3,2023-12-01,7149.64,25.72%,1794.64
87,7106,1365,82,2,2023-12-02,1052.37,6.38%,416.37
88,6957,1547,1,3,2023-11-14,3130.68,25.44%,883.68
89,2935,1240,27,1,2023-09-11,2319.43,14.33%,911.43
90,2312,1036,147,2,2023-06-19,591.18,25.69%,125.18
91,2796,1031,90,3,2023-10-31,8581.17,2.84%,3340.17
92,4329,1706,124,2,2023-04-18,2207.92,5.56%,863.92
93,6824,864,52,4,2023-03-31,9044.17,20.42%,4300.17
94,4329,1930,198,2,2023-07-05,5556.52,22.06%,1968.52
95,3589,829,63,1,2023-12-30,723.63,4.98%,295.63
96,3117,1600,95,4,2023-04-29,8386.81,7.50%,2050.81
97,4654,284,110,1,2023-01-26,886.28,11.00%,420.28
98,3748,410,122,2,2023-05-15,2915.47,19.08%,873.47
99,6825,861,67,3,2023-07-12,2559.64,28.44%,1176.64
100,1460,859,84,3,2023-11-25,4182.45,8.81%,2076.45
101,4431,692,130,4,2023-07-19,11626.25,21.99%,4618.25
102,2452,458,37,2,2023-08-03,1006.33,3.22%,224.33
103,7332,900,181,3,2023-11-07,7842.5,20.12%,2562.5
104,4091,106,39,4,2023-04-23,10457.87,27.66%,4141.87
105,8964,1174,123,2,2023-11-15,4353.01,10.96%,1533.01
106,5042,266,128,1,2023-12-01,3284.97,9.84%,1455.97
107,1112,900,159,3,2023-01-18,10387.53,28.60%,5107.53
108,9787,647,19,2,2023-09-03,926.01,27.95%,232.01
109,9474,191,42,4,2023-07-08,4690.85,23.93%,1846.85
110,3586,1266,179,2,2023-02-25,4225.98,13.70%,1307.98
111,7602,1623,123,3,2023-12-30,7464.92,6.79%,2376.92
112,2374,1219,196,4,2023-03-24,6834.06,24.00%,2270.06
113,6843,88,111,4,2023-08-29,4332.79,0.56%,1696.79
114,8534,1391,34,2,2023-04-13,1486.32,4.59%,394.32
115,5099,1509,121,4,2023-10-09,11367.16,13.18%,5551.16
116,4724,1950,182,2,2023-09-06,4183.73,13.55%,1833.73
117,2819,361,58,4,2023-12-23,6192.3,12.56%,1288.3
118,2926,116,15,3,2023-10-14,8197.21,10.77%,2644.21
119,9465,844,29,2,2023-05-30,1008.28,21.26%,416.28
120,710,789,185,3,2023-03-04,1664.17,23.40%,806.17
121,6993,1456,134,2,2023-02-12,2724.69,6.27%,980.69
122,739,491,46,2,2023-03-17,366.32,18.35%,112.32
123,9971,785,105,2,2023-10-23,6333.59,7.60%,2515.59
124,4591,963,71,2,2023-02-22,1983.36,1.24%,561.36
125,6088,1487,27,2,2023-04-18,3796.31,19.56%,1124.31
126,3719,1380,129,3,2023-02-01,6905.45,19.12%,2768.45
127,8202,480,73,2,2023-09-02,715.36,15.11%,181.36
128,5082,1545,150,3,2023-08-05,6441.11,28.83%,1752.11
129,9930,1448,150,1,2023-09-12,1003.75,14.17%,460.75
130,2579,1778,181,4,2023-10-21,11814.36,16.54%,4526.36
131,1559,1408,124,3,2023-10-28,2691.69,21.95%,678.69
132,4001,1238,194,1,2023-05-12,509.44,5.89%,104.44
133,4546,996,198,2,2023-11-25,2381.05,21.10%,397.05
134,5340,1760,113,4,2023-03-23,8725.78,13.26%,1505.78
135,9057,1723,93,4,2023-02-10,12615.82,20.41%,5619.82
136,9993,1861,193,3,2023-02-17,4305.42,11.99%,1482.42
137,2717,1146,55,4,2023-03-11,3411.12,20.22%,771.12
138,4303,1961,111,3,2023-09-10,7184.86,9.61%,2600.86
139,1810,708,44,1,2023-07-27,3695.7,5.20%,1780.7
140,5831,944,37,4,2023-05-16,9290.96,12.45%,3182.96
141,1998,701,38,4,2023-05-27,5801.18,14.40%,1041.18
142,2932,261,196,1,2023-05-13,1470.62,18.42%,396.62
143,2131,7,5,1,2023-08-20,1218.83,24.58%,496.83
144,4413,459,23,4,2023-08-06,7144.42,1.91%,2016.42
145,6514,871,188,1,2023-08-05,2033.41,23.48%,993.41
146,2797,1926,42,2,2023-10-08,530.82,16.61%,248.82
147,7749,669,98,1,2023-05-17,2093.38,27.61%,909.38
148,6324,1971,152,3,2023-04-09,7204.39,6.97%,2140.39
149,6746,28,170,4,2023-07-12,2197.52,16.75%,461.52
150,5203,825,48,3,2023-03-07,6069.31,22.51%,2751.31
151,1556,1855,122,4,2023-02-13,1473.07,11.19%,389.07
152,8182,422,6,1,2023-10-08,1551.43,14.44%,706.43
153,4444,723,195,4,2023-09-10,9891.84,4.93%,4535.84
154,8523,561,16,1,2023-04-10,1560.96,4.07%,690.96
155,4706,492,157,2,2023-08-16,4943.7,1.38%,1055.7
156,4840,1804,58,4,2023-05-20,2692.89,20.92%,828.89
157,3959,1709,131,3,2023-10-12,6074.25,9.26%,1298.25
158,4665,1382,103,1,2023-05-08,2136.4,29.64%,860.4
159,9877,723,110,4,2023-09-02,9882.78,21.05%,4526.78
160,9163,1505,22,2,2023-07-18,6108.6,17.92%,2648.6
161,747,301,65,4,2023-06-16,4031.62,0.44%,1911.62
162,2185,1413,159,1,2023-08-02,1521.52,21.96%,257.52
163,7947,65,5,2,2023-02-24,2875.06,12.85%,1437.06
164,9577,931,119,2,2023-07-20,3460.78,6.10%,774.78
165,5322,163,38,4,2023-10-22,7545.35,4.69%,1465.35
166,9211,1903,148,2,2023-07-25,5863.2,3.94%,2295.2
167,7149,1135,193,3,2023-06-29,4517.79,27.65%,1061.79
168,2025,671,87,2,2023-06-06,3113.42,20.82%,629.42
169,6174,1270,125,1,2023-06-19,1962.85,4.08%,497.85
170,9735,1828,64,2,2023-05-20,2538.94,1.71%,984.94
171,2712,424,196,4,2023-01-31,3646.46,3.50%,1654.46
172,7019,611,30,2,2023-08-30,1992.51,5.39%,762.51
173,9647,424,196,4,2023-04-28,2698.12,13.32%,706.12
174,7198,701,117,2,2023-04-26,4005.1,28.59%,1625.1
175,1703,1548,135,2,2023-07-02,4085.6,23.37%,1103.6
176,5530,1271,189,4,2023-09-28,10342.44,11.29%,4498.44
177,7217,722,92,2,2023-05-24,4072.08,22.89%,1084.08
178,7656,732,180,4,2023-07-05,3353.06,1.20%,973.06
179,5418,1805,125,1,2023-03-21,1873.27,26.02%,885.27
180,6325,414,159,4,2023-08-09,5225.31,6.73%,901.31
181,3874,552,17,3,2023-06-06,10361.14,22.03%,4976.14
182,8314,913,19,3,2023-08-09,1995.77,8.27%,918.77
183,9669,73,135,2,2023-11-08,2957.57,28.58%,1417.57
184,266,1383,122,4,2023-06-30,9113.34,28.09%,2185.34
185,8220,406,111,2,2023-11-24,5236.19,14.73%,1408.19
186,5379,1592,23,2,2023-01-18,4298.24,0.18%,1058.24
187,2125,830,66,1,2023-09-21,2426.21,1.15%,710.21
188,432,569,123,3,2023-11-07,437.79,6.46%,107.79
189,4975,655,54,3,2023-12-25,2915.36,12.77%,1244.36
190,3778,1373,76,2,2023-08-14,4777.81,7.55%,2371.81
191,7038,1400,43,3,2023-05-23,2392.26,20.94%,1012.26
192,1086,1590,139,2,2023-10-01,3339.79,15.25%,1623.79
193,6196,656,29,3,2023-01-14,3205.02,13.71%,1150.02
194,6260,1748,163,2,2023-11-10,2789.8,23.64%,475.8
195,2486,1768,61,2,2023-04-13,2900.55,6.69%,1024.55
196,8293,408,156,4,2023-03-24,12604.53,13.61%,5240.53
197,5399,592,186,1,2023-02-07,903.74,13.75%,185.74
198,5079,883,135,4,2023-03-05,9577.52,24.17%,4577.52
199,7203,720,127,1,2023-02-16,397.83,3.52%,78.83
200,3049,1914,17,4,2023-03-09,6197.64,27.27%,2641.64
201,6503,1433,66,4,2023-05-29,3364.83,1.85%,876.83
202,800,1151,150,4,2023-10-19,5222.25,21.00%,1770.25
203,3823,942,156,3,2023-07-27,836.28,3.52%,224.28
204,5612,695,57,4,2023-09-15,4213.75,22.15%,805.75
205,6010,1904,2,4,2023-01-17,5520.51,2.14%,2296.51
206,9488,1921,92,2,2023-01-07,3221.85,20.78%,639.85
207,5264,434,189,2,2023-03-06,5535.61,11.99%,1731.61
208,8627,1147,173,4,2023-12-25,3654.47,15.35%,1262.47
209,5571,1202,21,1,2023-02-13,1599.74,15.92%,433.74
210,9108,1953,184,3,2023-05-26,1642.53,13.04%,688.53
211,4641,1777,188,4,2023-06-08,4676.71,7.31%,1860.71
212,5334,1140,95,3,2023-07-26,7272.46,11.82%,3003.46
213,8840,839,195,4,2023-05-08,3952.68,14.17%,1564.68
214,2296,1766,164,3,2023-03-20,8531.79,13.21%,4091.79
215,1432,493,169,4,2023-11-06,1639.01,13.91%,775.01
216,5173,860,19,3,2023-06-19,5435.25,26.61%,1862.25
217,2362,1692,48,1,2023-07-22,1252.17,6.54%,396.17
218,7542,1184,135,4,2023-07-28,2052.18,10.92%,992.18
219,724,600,94,4,2023-11-18,9050.76,27.54%,3122.76
220,1548,1544,139,4,2023-12-13,3602.43,21.16%,1022.43
221,9172,812,189,4,2023-05-18,7169.99,20.55%,2889.99
222,8276,96,96,4,2023-05-16,10638.8,11.68%,4262.8
223,1366,1052,115,4,2023-11-23,6104,8.35%,1144
224,8742,1148,4,2,2023-01-05,2442.94,6.27%,990.94
225,3854,880,184,1,2023-01-10,432.43,3.31%,210.43
226,4683,1731,134,2,2023-03-31,2848.64,25.54%,862.64
227,5961,1671,190,1,2023-10-08,2370.22,14.68%,585.22
228,8344,1024,115,4,2023-05-16,3864.63,22.94%,1288.63
229,7690,1158,158,2,2023-08-27,3641.34,21.73%,669.34
230,5158,477,187,2,2023-02-24,4422.18,2.60%,1256.18
231,3499,557,43,1,2023-04-29,265.26,28.31%,51.26
232,2986,14,105,2,2023-06-28,3120.22,16.61%,1344.22
233,1568,173,189,1,2023-05-01,1161.4,12.77%,326.4
234,8404,1723,56,4,2023-01-30,11998.98,3.60%,5002.98
235,6670,936,58,1,2023-01-10,3425.64,16.17%,1588.64
236,4192,1619,187,3,2023-12-31,1561.51,6.38%,616.51
237,9719,686,193,4,2023-04-24,9811.75,3.45%,4511.75
238,7157,315,188,1,2023-02-13,1416.3,5.53%,684.3
239,8714,1881,53,4,2023-05-19,10130.19,29.66%,2618.19
240,6518,1829,11,4,2023-02-15,5393.72,15.66%,1545.72
241,5136,1106,80,1,2023-02-14,1717.47,8.02%,315.47
242,9895,1988,109,2,2023-10-22,3114.14,25.32%,986.14
243,6752,1601,49,2,2023-06-28,4543.57,24.58%,801.57
244,8210,1377,42,4,2023-07-10,4608.05,13.42%,1692.05
245,7175,1948,110,2,2023-05-31,4920.05,8.42%,2242.05
246,1720,1065,62,3,2023-01-05,2264.91,20.38%,779.91
247,8062,1875,194,4,2023-06-09,11348.72,19.59%,4892.72
248,4015,1121,91,1,2023-06-26,2647.56,24.46%,738.56
249,879,783,20,3,2023-08-10,686.63,12.41%,206.63
250,8786,1261,17,4,2023-03-31,4138.47,18.89%,1834.47
251,6273,343,116,4,2023-09-22,3629.51,0.79%,1313.51
252,1610,989,172,4,2023-02-24,5520.48,0.27%,1140.48
253,9068,1703,16,2,2023-11-15,3986.67,26.97%,790.67
254,6715,462,58,1,2023-05-15,2446.23,4.86%,966.23
255,5110,990,127,3,2023-01-29,4259.68,23.50%,1064.68
256,2449,194,149,1,2023-06-20,1038.64,26.24%,292.64
257,2137,333,53,4,2023-03-09,10760.73,15.55%,5136.73
258,6967,1000,82,1,2023-12-09,3519.1,20.22%,1529.1
259,2054,1308,138,3,2023-07-11,511.62,24.26%,100.62
260,7764,1439,123,3,2023-08-31,7868.42,18.22%,2888.42
261,84,652,6,3,2023-01-29,8199.9,29.11%,3612.9
262,9632,269,17,3,2023-06-25,981.39,6.75%,381.39
263,2669,515,12,4,2023-06-16,7474.31,12.51%,2350.31
264,5232,575,42,3,2023-03-17,840.32,20.67%,174.32
265,8891,1565,60,4,2023-07-29,12022.83,21.61%,5534.83
266,1821,1395,161,4,2023-08-01,3785.96,3.08%,1225.96
267,4415,1088,36,1,2023-07-30,317.1,10.11%,99.1
268,7250,1118,23,1,2023-03-09,1644.89,18.63%,614.89
269,9291,1356,3,1,2023-09-07,541.29,25.86%,150.29
270,6573,1877,121,2,2023-12-02,5048.99,2.09%,1284.99
271,7628,1150,67,1,2023-01-06,1130.96,19.40%,290.96
272,2895,1858,62,1,2023-03-27,1677.58,14.10%,806.58
273,3418,884,174,2,2023-11-03,2764.89,5.76%,1092.89
274,249,1714,9,3,2023-09-06,8783.15,27.17%,4361.15
275,7811,1232,83,4,2023-12-10,3830.37,29.54%,1366.37
276,1891,1376,22,2,2023-12-25,2824.6,4.77%,598.6
277,7881,732,78,2,2023-12-19,2319.03,10.09%,1129.03
278,2116,1993,178,2,2023-07-18,3225.28,8.09%,1093.28
279,6582,502,95,2,2023-02-10,756.25,2.05%,164.25
280,3064,1681,112,2,2023-04-03,4206.62,19.90%,1672.62
281,5652,1145,128,1,2023-01-19,2556.44,17.75%,926.44
282,1807,56,54,3,2023-03-18,3486.63,16.21%,879.63
283,7301,114,53,1,2023-08-30,289.18,27.51%,132.18
284,8488,723,33,4,2023-01-22,6613.03,24.78%,1257.03
285,2695,519,169,4,2023-03-01,10012.33,21.83%,4016.33
286,5494,932,92,1,2023-02-11,496.33,15.83%,141.33
287,8224,1320,21,1,2023-07-01,2090.59,19.40%,925.59
288,4651,1281,26,4,2023-02-19,2220.4,7.17%,884.4
289,8127,1194,10,4,2023-01-18,7307.85,29.48%,1731.85
290,793,164,64,4,2023-01-08,9470.49,1.74%,2262.49
291,4192,881,23,3,2023-05-05,6865.18,12.25%,3325.18
292,1090,1831,67,2,2023-09-20,6380.08,6.37%,3008.08
293,8422,1913,10,1,2023-02-06,1407.27,8.51%,572.27
294,2781,129,109,2,2023-12-27,5296.64,22.61%,2604.64
295,4498,752,123,2,2023-04-10,3269.89,28.23%,949.89
296,790,1752,1,4,2023-07-21,5404.97,3.82%,1372.97
297,4195,191,28,1,2023-10-23,1414.22,7.65%,703.22
298,9991,1610,39,2,2023-02-04,4256.12,29.21%,1892.12
299,4458,843,118,3,2023-05-13,5296.49,17.69%,1084.49
300,6672,1894,107,1,2023-12-12,2273.15,22.30%,829.15
301,4636,1878,78,1,2023-11-23,2721,18.94%,1065
302,5962,824,186,4,2023-05-15,10123.99,11.63%,3295.99
303,6739,415,38,4,2023-05-20,2483.93,8.30%,1163.93
304,5156,1281,65,3,2023-12-25,1947.53,2.74%,945.53
305,314,553,2,2,2023-12-31,4277.53,26.08%,1445.53
306,6634,651,70,2,2023-05-02,3820.15,27.67%,704.15
307,233,262,146,3,2023-06-17,682.69,9.86%,313.69
308,5736,947,52,1,2023-03-04,761.14,14.56%,134.14
309,9222,192,54,1,2023-12-30,3058.83,29.46%,1415.83
310,7850,1261,146,3,2023-08-05,2773.84,12.77%,1045.84
311,2712,1745,150,1,2023-10-25,1006.5,8.89%,366.5
312,7941,78,175,1,2023-08-27,2313.87,29.91%,763.87
313,3345,352,76,2,2023-12-28,1938.76,14.23%,876.76
314,2123,404,75,2,2023-05-14,1620.5,6.80%,732.5
315,3780,1909,126,2,2023-09-14,6114.4,20.02%,2960.4
316,5655,1796,111,1,2023-02-25,2274.63,26.54%,1060.63
317,9073,763,118,4,2023-10-22,10489.4,21.05%,4465.4
318,1173,1959,156,1,2023-09-11,1222.73,12.96%,313.73
319,7318,1071,42,2,2023-07-18,2337.91,23.72%,391.91
320,7745,918,39,2,2023-03-03,4985.37,29.56%,1787.37
321,160,349,147,4,2023-08-18,6341.07,15.76%,2537.07
322,7964,810,20,1,2023-05-22,2269.97,18.69%,706.97
323,2130,1637,68,4,2023-09-30,5969.19,11.10%,2649.19
324,3079,1485,155,4,2023-12-25,834.33,28.47%,286.33
325,2230,975,65,1,2023-02-20,2851.77,1.95%,1238.77
326,2918,803,91,4,2023-05-14,4856.58,4.43%,2148.58
327,3014,153,46,2,2023-09-28,3466.77,26.28%,970.77
328,9742,1651,192,4,2023-04-18,7847.15,24.69%,3347.15
329,6327,1923,192,2,2023-04-22,1935.22,3.01%,943.22
330,1580,1331,185,1,2023-03-05,1063.43,9.34%,345.43
331,1961,268,119,2,2023-10-14,3497.1,24.01%,1179.1
332,7903,1678,50,2,2023-10-22,4343.07,0.03%,873.07
333,6658,936,92,1,2023-08-16,3556.8,2.74%,1719.8
334,3845,1312,99,2,2023-09-18,2891.09,16.82%,1333.09
335,4698,306,1,2,2023-01-29,2333.88,5.35%,869.88
336,2391,1092,3,3,2023-02-09,6911.57,9.36%,2189.57
337,1420,285,4,1,2023-06-08,2191.99,22.76%,724.99
338,3918,543,155,3,2023-08-13,7040.18,18.72%,1556.18
339,4943,1504,37,2,2023-06-09,4614.14,2.16%,902.14
340,8355,24,23,1,2023-11-16,687.4,25.37%,328.4
341,8308,1035,155,3,2023-08-13,3494.83,7.41%,1637.83
342,7571,639,89,4,2023-10-22,13652.7,23.70%,6724.7
343,5199,1310,82,1,2023-08-07,843.18,5.91%,354.18
344,9663,1009,2,1,2023-01-01,2142.84,8.66%,879.84
345,6003,787,10,3,2023-06-27,2578.41,9.64%,922.41
346,5143,1700,172,4,2023-01-20,4762.66,2.03%,1622.66
347,3853,774,98,2,2023-10-25,4855.69,14.41%,1429.69
348,543,130,90,2,2023-02-24,4034.71,21.56%,1856.71
349,8606,743,27,1,2023-04-25,1709.13,3.21%,300.13
350,8874,380,37,1,2023-09-28,559.39,13.71%,200.39
351,8834,1811,177,1,2023-09-16,1908.17,15.20%,550.17
352,3979,1454,29,2,2023-09-17,4683.51,23.88%,1885.51
353,1433,240,136,4,2023-04-17,5417.96,0.01%,1801.96
354,8861,1576,125,1,2023-08-30,3530.61,27.82%,1576.61
355,7806,146,88,2,2023-09-06,1517.31,21.38%,413.31
356,969,1897,60,2,2023-05-26,2414.24,5.66%,740.24
357,5801,1316,128,2,2023-05-21,1403.09,21.92%,453.09
358,7846,1966,93,1,2023-10-02,481.9,16.05%,197.9
359,9373,1336,193,2,2023-06-28,5976.13,25.59%,2408.13
360,5592,308,77,2,2023-03-25,6913.86,14.05%,3321.86
361,5384,1846,182,4,2023-12-25,777.81,5.25%,141.81
362,7471,824,25,4,2023-07-05,10376.06,21.66%,3548.06
363,4820,885,135,1,2023-03-14,2076.2,10.84%,346.2
364,7633,1654,22,4,2023-04-24,5071.09,7.57%,2059.09
365,3236,626,97,2,2023-11-19,3504.82,0.98%,1090.82
366,5256,532,111,2,2023-05-12,4344.46,26.80%,818.46
367,252,229,15,4,2023-08-30,10225.03,20.52%,4201.03
368,4301,513,131,2,2023-11-29,5991.01,21.99%,2815.01
369,7410,1815,183,4,2023-09-23,10611.88,7.29%,4971.88
370,3999,806,125,2,2023-08-06,5374.58,10.19%,2462.58
371,8983,1044,136,1,2023-07-21,2567.93,26.71%,911.93
372,5181,260,48,3,2023-10-29,6336.01,19.03%,1113.01
373,5422,1779,193,3,2023-07-18,2308.27,5.38%,940.27
374,1496,892,95,3,2023-01-26,3014.57,25.88%,1457.57
375,7979,1009,92,4,2023-08-02,7334.87,6.81%,2282.87
376,8142,614,83,2,2023-02-11,1005.91,11.31%,175.91
377,5379,197,82,2,2023-02-19,1027.67,4.07%,349.67
378,2578,390,180,1,2023-04-07,1901.23,26.70%,948.23
379,5307,703,118,3,2023-07-17,8137.2,5.78%,3286.2
380,8134,346,38,1,2023-09-24,2654.28,16.19%,1169.28
381,1236,641,150,1,2023-02-11,323.86,16.08%,132.86
382,1059,1152,185,3,2023-05-31,7752.07,4.02%,2622.07
383,9363,114,127,4,2023-11-09,915.95,18.52%,287.95
384,3660,959,105,2,2023-02-14,1686.6,25.58%,710.6
385,5369,1231,13,4,2023-09-02,5141.12,13.32%,2037.12
386,57,848,164,3,2023-11-09,10800.79,1.69%,4896.79
387,7473,1879,54,3,2023-10-24,2769.78,1.50%,1119.78
388,2570,1129,105,1,2023-09-08,1438.61,0.22%,416.61
389,4081,726,175,4,2023-10-10,2833.46,24.21%,585.46
390,6378,1974,47,2,2023-08-05,3192.74,20.45%,1026.74
391,1949,709,70,3,2023-12-26,9007.21,5.87%,3547.21
392,223,1195,72,4,2023-05-26,9477.78,5.27%,2141.78
393,9832,261,88,4,2023-11-03,7667.17,12.40%,3371.17
394,5218,1990,101,2,2023-11-21,5169.09,29.43%,2273.09
395,9950,1346,38,1,2023-11-16,1712.7,12.74%,441.7
396,9028,1802,117,2,2023-08-03,7197.66,19.83%,3429.66
397,2537,1910,110,2,2023-08-27,5777.88,27.07%,2639.88
398,2526,1188,176,3,2023-07-31,3810.16,11.57%,1605.16
399,9177,1262,195,1,2023-11-15,2294.84,19.41%,599.84
400,1358,675,22,4,2023-07-13,1958.49,10.15%,650.49
401,4888,941,150,1,2023-11-27,2401.18,13.67%,775.18
402,7723,1559,190,2,2023-09-20,4790.09,14.16%,1738.09
403,5983,1726,87,4,2023-12-22,5544.22,11.38%,2432.22
404,4478,1327,1,4,2023-02-19,4724.44,26.14%,1364.44
405,9639,912,191,2,2023-06-04,1270.03,27.89%,606.03
406,1372,165,120,2,2023-03-04,324.73,28.47%,104.73
407,3225,1962,42,3,2023-10-27,4039.12,28.78%,2002.12
408,1875,419,110,3,2023-07-24,5238.66,1.69%,1185.66
409,3362,1264,195,3,2023-05-20,10085.85,15.68%,4160.85
410,6105,552,130,3,2023-03-25,9968.09,0.69%,4583.09
411,1143,1552,189,3,2023-08-30,6705.63,9.23%,2694.63
412,4310,197,103,1,2023-04-24,571.76,14.98%,232.76
413,8757,1291,128,4,2023-09-13,9596.39,8.60%,4004.39
414,6899,1075,61,4,2023-06-15,8812.14,29.05%,3936.14
415,1589,1757,138,3,2023-12-03,8144.84,28.34%,3044.84
416,4999,1392,36,1,2023-06-12,835.58,17.16%,383.58
417,9663,1390,103,2,2023-09-05,2893.46,25.83%,1157.46
418,4343,1483,57,1,2023-09-06,1236,0.03%,543
419,3363,238,16,4,2023-06-13,3591.93,1.95%,1179.93
420,1637,1360,141,3,2023-02-16,6723.59,2.43%,1308.59
421,9665,1369,162,2,2023-04-27,578.81,13.23%,208.81
422,6228,946,22,3,2023-03-22,2129.02,27.41%,458.02
423,1245,323,147,3,2023-04-10,498.16,4.33%,192.16
